movieId,imdbId
1,114709
2,113497
3,113228
4,114885
5,113041
6,113277
7,114319
8,112302
9,114576
10,113189
11,112346
12,112896
13,112453
14,113987
15,112760
16,112641
17,114388
18,113101
19,112281
20,113845
21,113161
22,112722
23,112401
24,114168
25,113627
26,114057
27,114011
28,114117
29,112682
30,115012
31,112792
32,114746
34,112431
35,112637
36,112818
37,112286
38,113442
39,112697
40,112749
41,114279
42,112819
43,114272
44,113855
45,114681
46,113347
47,114369
48,114148
49,114916
50,114814
52,113819
53,110299
54,112499
55,113158
57,113321
58,110877
59,112714
60,113419
61,116260
62,113862
63,116126
64,118002
65,115683
66,116839
68,113149
69,113118
70,116367
71,113010
72,113537
73,113828
74,115644
76,114367
77,113973
78,112744
79,116731
80,112445
81,114660
82,112379
83,114039
84,113612
85,112365
86,118158
87,116151
88,115697
89,113972
92,117002
93,114825
94,115639
95,115759
96,113403
97,113247
98,111173
99,113283
100,115907
101,115734
102,117102
103,118040
104,116483
105,112579
107,117110
108,112646
110,112573
111,75314
112,113326
113,115645
114,113774
116,112373
117,115033
118,116606
119,114536
121,106473
122,103859
123,109424
124,114808
125,116324
126,110647
129,114131
130,112364
131,113107
132,113451
135,116130
137,113756
140,118055
141,115685
144,112585
145,112442
146,112342
147,112461
148,112427
149,109093
150,112384
151,114287
152,112288
153,112462
154,61395
155,112495
156,112541
157,109370
158,112642
159,112688
160,112715
161,112740
162,109508
163,112851
164,112857
165,112864
166,112887
167,113044
168,113071
169,113114
170,113243
171,113464
172,113481
173,113492
174,113500
175,113540
176,113677
177,113690
178,107447
179,113729
180,113749
181,113820
183,110604
184,110620
185,113957
186,113986
187,114095
188,114194
189,114241
190,114323
191,114345
193,114436
194,114478
195,114496
196,114508
198,114558
199,58450
200,114666
201,114663
202,114702
203,114682
204,114781
205,114798
206,114805
207,114887
208,114898
209,114928
211,109340
213,111579
214,110882
215,112471
216,112508
217,112438
218,112571
219,112757
220,112643
222,112679
223,109445
224,112883
225,109635
227,109676
228,112854
229,109579
230,109642
231,109686
232,111797
233,109759
234,109758
235,109707
236,113117
237,113097
238,113028
239,113198
240,113303
241,113089
242,109771
243,113199
244,113234
245,109906
246,110057
247,110005
248,110066
249,110116
250,110006
251,113360
252,110099
253,110148
254,113463
255,110189
256,110216
257,113501
258,113538
259,113552
260,76759
261,110367
262,113670
263,110296
264,109731
265,103994
266,110322
267,110443
268,110365
269,107566
270,110391
271,113691
272,110428
273,109836
274,113755
275,110538
276,110516
277,110527
278,113808
279,113896
280,113870
281,110684
282,110638
283,113967
285,106402
287,110671
288,110632
289,110737
290,110729
291,114151
292,114069
293,110413
294,114113
295,114210
296,110912
299,110889
300,110932
301,114129
302,110963
303,114214
304,114296
305,110907
306,111495
307,108394
308,111507
309,110769
312,114571
313,111333
314,111112
315,111255
316,111282
317,111070
318,111161
319,111149
320,108260
321,106966
322,114594
324,111309
325,113936
326,110081
327,114614
328,114608
329,111280
330,114609
331,111454
332,114852
333,114694
334,111590
335,114788
336,114888
337,108550
338,114857
339,114924
340,111667
341,109655
342,110598
343,112435
344,109040
345,109045
346,106339
347,104779
348,109348
349,109444
350,109446
351,109484
352,109504
353,109506
354,109450
355,109813
356,109830
357,109831
358,113305
360,110093
361,110167
362,110213
363,107472
364,110357
365,107426
366,111686
367,110475
368,110478
369,110588
370,110622
371,110771
372,110950
373,105226
374,110989
375,111054
376,110997
377,111257
378,111256
379,111438
380,111503
381,111693
382,111742
383,111756
384,112443
387,110399
388,112570
389,109454
390,59170
391,110186
392,108069
393,111301
401,113827
405,110027
407,113409
408,109021
409,109035
410,106220
412,106226
413,109068
414,109067
415,106292
416,109198
417,109219
418,106379
419,106400
420,109254
421,109279
422,109297
423,109303
424,109305
425,109306
426,106452
427,106471
428,106489
429,109361
431,106519
432,109439
433,109443
434,106582
435,106598
436,109456
437,109480
438,109493
439,106660
440,106673
441,106677
442,106697
443,109729
444,106834
445,106873
446,106332
447,109783
448,106881
449,106880
450,111732
451,106926
452,111712
453,106941
454,106918
455,106965
456,109842
457,106977
458,107004
459,109890
460,109891
461,109913
463,107057
464,107076
465,107096
466,107144
467,113674
468,112966
469,107151
470,110064
471,110074
472,110097
473,110123
474,107206
475,107207
476,110137
477,108551
479,107286
480,107290
481,107302
482,110265
483,107322
484,110305
485,107362
486,107413
487,110353
488,107468
489,107478
490,107497
491,107501
492,107507
493,107554
494,116253
495,74102
496,111689
497,107616
498,107611
499,107613
500,107614
501,107653
502,110657
504,110678
505,110687
506,107756
507,107808
508,107818
509,107822
510,107840
511,107889
512,111003
513,110939
514,110955
515,107943
516,110971
517,107969
518,111001
519,107978
520,107977
521,107983
522,105275
523,108000
