"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Democratic Republic of the Congo","Male","51.3","51.28242","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Democratic Republic of the Congo","Male","14.9","14.92793","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Democratic Republic of the Congo","Male","60.0","60.00336","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Democratic Republic of the Congo","Male","52.8","52.81453","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Democratic Republic of the Congo","Male","15.4","15.35025","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Democratic Republic of the Congo","Female","54.5","54.48838","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Democratic Republic of the Congo","Female","46.4","46.42463","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Democratic Republic of the Congo","Female","16.4","16.37929","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Democratic Republic of the Congo","Female","59.4","59.42277","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Democratic Republic of the Congo","Female","50.8","50.81897","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Democratic Republic of the Congo","Female","16.8","16.76998","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Democratic Republic of the Congo","Female","62.7","62.73359","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Democratic Republic of the Congo","Female","53.6","53.64328","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Democratic Republic of the Congo","Female","17.5","17.52332","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Democratic Republic of the Congo","Female","64.8","64.81888","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Democratic Republic of the Congo","Female","55.4","55.44346","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Democratic Republic of the Congo","Female","17.9","17.87564","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Democratic Republic of the Congo","Both sexes","52.4","52.44439","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Democratic Republic of the Congo","Both sexes","45.3","45.25779","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Democratic Republic of the Congo","Both sexes","14.9","14.87635","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Democratic Republic of the Congo","Both sexes","57.5","57.50722","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Democratic Republic of the Congo","Both sexes","49.9","49.88082","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Democratic Republic of the Congo","Both sexes","15.5","15.49009","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Democratic Republic of the Congo","Both sexes","60.4","60.44355","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Democratic Republic of the Congo","Both sexes","52.4","52.43366","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Democratic Republic of the Congo","Both sexes","16.2","16.24967","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Democratic Republic of the Congo","Both sexes","62.4","62.35105","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Democratic Republic of the Congo","Both sexes","54.1","54.09277","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Democratic Republic of the Congo","Both sexes","16.6","16.63020","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Congo","Male","51.5","51.54181","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Congo","Male","45.5","45.48362","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Congo","Male","12.8","12.77586","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Congo","Male","61.0","60.98846","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Congo","Male","53.8","53.84877","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Congo","Male","15.2","15.16086","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Congo","Male","62.6","62.56468","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Congo","Male","55.3","55.29120","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Congo","Male","15.5","15.50839","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Congo","Male","63.8","63.80726","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Congo","Male","56.4","56.35416","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Congo","Male","15.7","15.71496","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Congo","Female","52.6","52.57912","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Congo","Female","45.2","45.18250","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Congo","Female","14.7","14.72978","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Congo","Female","60.8","60.84641","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Congo","Female","52.2","52.20798","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Congo","Female","16.1","16.05134","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Congo","Female","63.6","63.59293","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Congo","Female","54.5","54.48605","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Congo","Female","16.6","16.60241","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Congo","Female","65.6","65.61142","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Congo","Female","56.1","56.11015","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Congo","Female","17.1","17.06684","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Congo","Both sexes","52.1","52.11573","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Congo","Both sexes","45.4","45.35336","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Congo","Both sexes","13.9","13.86793","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Congo","Both sexes","61.0","60.95192","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Congo","Both sexes","53.0","53.03023","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Congo","Both sexes","15.7","15.66505","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Congo","Both sexes","63.1","63.11351","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Congo","Both sexes","54.9","54.90047","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Congo","Both sexes","16.1","16.11145","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Congo","Both sexes","64.7","64.73853","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Congo","Both sexes","56.2","56.24640","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Congo","Both sexes","16.4","16.44640","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Colombia","Male","69.7","69.71152","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Colombia","Male","61.4","61.41743","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Colombia","Male","20.3","20.29050","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Colombia","Male","74.0","74.00397","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Colombia","Male","65.2","65.18458","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Colombia","Male","21.6","21.63741","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Colombia","Male","75.6","75.63147","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Colombia","Male","66.6","66.63692","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Colombia","Male","22.0","21.99516","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Colombia","Male","76.7","76.69210","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Colombia","Male","67.4","67.41970","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Colombia","Male","22.5","22.48425","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Colombia","Female","77.8","77.84826","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Colombia","Female","66.9","66.90593","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Colombia","Female","23.1","23.06326","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Colombia","Female","80.1","80.14824","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Colombia","Female","69.1","69.10471","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Colombia","Female","24.3","24.27291","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Colombia","Female","81.0","81.01265","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Colombia","Female","69.9","69.91184","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Colombia","Female","24.7","24.67866","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Colombia","Female","81.9","81.87032","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Colombia","Female","70.5","70.47465","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Colombia","Female","25.3","25.26866","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Colombia","Both sexes","73.7","73.74615","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Colombia","Both sexes","64.1","64.14087","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Colombia","Both sexes","21.7","21.74144","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Colombia","Both sexes","77.1","77.09467","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Colombia","Both sexes","67.2","67.15308","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Colombia","Both sexes","23.0","23.03183","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Colombia","Both sexes","78.4","78.35336","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Colombia","Both sexes","68.3","68.29021","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Colombia","Both sexes","23.4","23.41622","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Colombia","Both sexes","79.3","79.31356","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Colombia","Both sexes","69.0","68.96494","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Colombia","Both sexes","24.0","23.95938","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Comoros","Male","60.2","60.15296","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Comoros","Male","53.2","53.15047","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Comoros","Male","15.6","15.56029","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Comoros","Male","63.6","63.60187","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Comoros","Male","56.4","56.39430","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Comoros","Male","16.9","16.92200","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Comoros","Male","65.1","65.06989","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Comoros","Male","57.6","57.61087","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Comoros","Male","17.2","17.22152","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Comoros","Male","65.9","65.91650","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Comoros","Male","58.3","58.27122","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Comoros","Male","17.4","17.44422","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Comoros","Female","62.9","62.85692","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Comoros","Female","54.4","54.37717","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Comoros","Female","17.0","17.03182","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Comoros","Female","66.4","66.35258","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Comoros","Female","57.5","57.53360","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Comoros","Female","18.2","18.20874","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Comoros","Female","67.8","67.84341","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Comoros","Female","58.8","58.76696","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Comoros","Female","18.5","18.54134","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Comoros","Female","68.9","68.88187","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Comoros","Female","59.6","59.62023","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Comoros","Female","18.8","18.75475","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Comoros","Both sexes","61.5","61.50557","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Comoros","Both sexes","53.8","53.76669","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Comoros","Both sexes","16.3","16.34116","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Comoros","Both sexes","65.0","64.97557","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Comoros","Both sexes","57.0","56.96704","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Comoros","Both sexes","17.6","17.60318","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Comoros","Both sexes","66.5","66.45436","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Comoros","Both sexes","58.2","58.19257","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Comoros","Both sexes","17.9","17.91739","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Comoros","Both sexes","67.4","67.39130","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Comoros","Both sexes","58.9","58.94620","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Comoros","Both sexes","18.1","18.13271","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Cabo Verde","Male","66.9","66.88631","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Cabo Verde","Male","59.4","59.44102","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Cabo Verde","Male","18.2","18.16738","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Cabo Verde","Male","70.8","70.82956","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Cabo Verde","Male","62.5","62.53066","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Cabo Verde","Male","20.8","20.84867","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Cabo Verde","Male","72.2","72.17604","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Cabo Verde","Male","63.7","63.66277","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Cabo Verde","Male","21.0","21.02976","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Cabo Verde","Male","69.9","69.89880","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Cabo Verde","Male","62.2","62.20730","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Cabo Verde","Male","16.8","16.81792","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Cabo Verde","Female","74.6","74.61189","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Cabo Verde","Female","64.2","64.24406","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Cabo Verde","Female","22.3","22.25270","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Cabo Verde","Female","77.3","77.26542","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Cabo Verde","Female","66.4","66.43116","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Cabo Verde","Female","22.9","22.88421","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Cabo Verde","Female","77.6","77.58920","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Cabo Verde","Female","66.9","66.85461","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Cabo Verde","Female","22.1","22.12189","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Cabo Verde","Female","77.9","77.93941","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Cabo Verde","Female","67.2","67.21624","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Cabo Verde","Female","21.8","21.77146","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Cabo Verde","Both sexes","71.0","70.97066","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Cabo Verde","Both sexes","62.0","61.98182","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Cabo Verde","Both sexes","20.4","20.36118","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Cabo Verde","Both sexes","74.1","74.12373","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Cabo Verde","Both sexes","64.5","64.53008","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Cabo Verde","Both sexes","22.1","22.07198","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Cabo Verde","Both sexes","74.9","74.88204","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Cabo Verde","Both sexes","65.2","65.24917","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Cabo Verde","Both sexes","21.7","21.69371","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Cabo Verde","Both sexes","74.0","74.03075","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Cabo Verde","Both sexes","64.8","64.79973","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Cabo Verde","Both sexes","19.7","19.65517","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Costa Rica","Male","75.5","75.47218","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Costa Rica","Male","66.8","66.84241","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Costa Rica","Male","20.8","20.78094","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Costa Rica","Male","77.0","76.98176","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Costa Rica","Male","67.9","67.86087","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Costa Rica","Male","22.5","22.49287","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Costa Rica","Male","78.2","78.16401","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Costa Rica","Male","68.7","68.67492","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Costa Rica","Male","23.3","23.31598","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Costa Rica","Male","78.3","78.31458","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Costa Rica","Male","68.6","68.64899","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Costa Rica","Male","23.6","23.58388","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Costa Rica","Female","80.6","80.63433","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Costa Rica","Female","69.3","69.27589","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Costa Rica","Female","24.0","23.96025","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Costa Rica","Female","82.2","82.21595","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Costa Rica","Female","70.6","70.55448","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Costa Rica","Female","25.4","25.39510","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Costa Rica","Female","83.5","83.47144","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Costa Rica","Female","71.4","71.44070","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Costa Rica","Female","26.4","26.35890","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Costa Rica","Female","83.4","83.43867","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Costa Rica","Female","71.3","71.32768","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Costa Rica","Female","26.4","26.40328","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Costa Rica","Both sexes","78.0","78.00478","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Costa Rica","Both sexes","68.0","68.03592","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Costa Rica","Both sexes","22.4","22.38462","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Costa Rica","Both sexes","79.6","79.55984","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Costa Rica","Both sexes","69.2","69.18748","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Costa Rica","Both sexes","24.0","23.96989","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Costa Rica","Both sexes","80.8","80.78130","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Costa Rica","Both sexes","70.0","70.03889","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Costa Rica","Both sexes","24.9","24.86640","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Costa Rica","Both sexes","80.8","80.84692","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Costa Rica","Both sexes","70.0","69.97371","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Costa Rica","Both sexes","25.0","25.02802","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Cuba","Male","74.6","74.58501","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Cuba","Male","66.2","66.16367","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Cuba","Male","20.2","20.22998","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Cuba","Male","75.5","75.54917","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Cuba","Male","67.0","66.95629","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Cuba","Male","20.1","20.13843","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Cuba","Male","75.7","75.70345","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Cuba","Male","66.9","66.92545","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Cuba","Male","20.3","20.34403","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Cuba","Male","75.4","75.36885","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Cuba","Male","66.6","66.55441","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Cuba","Male","20.0","19.98318","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Cuba","Female","79.0","79.03805","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Cuba","Female","68.1","68.14230","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Cuba","Female","23.0","22.98259","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Cuba","Female","79.8","79.82246","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Cuba","Female","69.0","68.98356","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Cuba","Female","22.9","22.90981","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Cuba","Female","80.2","80.18662","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Cuba","Female","69.2","69.19330","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Cuba","Female","23.2","23.23844","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Cuba","Female","80.3","80.25120","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Cuba","Female","69.2","69.16042","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Cuba","Female","23.2","23.17714","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Cuba","Both sexes","76.8","76.76054","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Cuba","Both sexes","67.1","67.12449","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Cuba","Both sexes","21.6","21.60023","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Cuba","Both sexes","77.7","77.65455","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Cuba","Both sexes","68.0","67.95462","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Cuba","Both sexes","21.5","21.53136","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Cuba","Both sexes","77.9","77.91375","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Cuba","Both sexes","68.0","68.04575","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Cuba","Both sexes","21.8","21.80810","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Cuba","Both sexes","77.8","77.76285","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Cuba","Both sexes","67.8","67.83558","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Cuba","Both sexes","21.6","21.59241","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Cyprus","Male","76.5","76.52765","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Cyprus","Male","68.3","68.27986","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Cyprus","Male","20.4","20.36957","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Cyprus","Male","78.9","78.92952","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Cyprus","Male","70.0","70.02342","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Cyprus","Male","22.2","22.16106","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Cyprus","Male","79.9","79.88566","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Cyprus","Male","70.9","70.86140","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Cyprus","Male","22.6","22.60652","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Cyprus","Male","81.1","81.11502","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Cyprus","Male","71.8","71.82452","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Cyprus","Male","23.3","23.30809","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Cyprus","Female","81.0","80.98973","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Cyprus","Female","70.0","69.95739","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Cyprus","Female","23.2","23.24316","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Cyprus","Female","83.1","83.09668","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Cyprus","Female","71.5","71.54327","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Cyprus","Female","24.8","24.82716","","","","",""
